IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.121.23,80,80,false,SIN,Asia Pacific,Singapore,232,0.20
47.236.9.152,2053,2053,true,SIN,Asia Pacific,Singapore,230,0.20
47.236.165.25,8080,8080,false,SIN,Asia Pacific,Singapore,223,0.19
47.236.144.208,2086,2086,false,SIN,Asia Pacific,Singapore,220,0.19
47.237.10.1,8443,8443,true,SIN,Asia Pacific,Singapore,224,0.18
47.237.92.26,2053,2053,true,SIN,Asia Pacific,Singapore,247,0.17
158.178.224.243,8443,8443,true,SIN,Asia Pacific,Singapore,260,0.17
8.219.67.133,8080,8080,false,SIN,Asia Pacific,Singapore,232,0.16
47.236.118.216,8443,8443,true,SIN,Asia Pacific,Singapore,246,0.16
8.219.78.188,2053,2053,true,SIN,Asia Pacific,Singapore,230,0.16
47.237.86.185,80,80,false,SIN,Asia Pacific,Singapore,232,0.15
47.236.172.71,2086,2086,false,SIN,Asia Pacific,Singapore,227,0.15
8.219.191.40,2053,2053,true,SIN,Asia Pacific,Singapore,224,0.15
8.219.191.110,2053,2053,true,SIN,Asia Pacific,Singapore,217,0.15
47.237.95.140,8880,8880,false,SIN,Asia Pacific,Singapore,239,0.14
47.236.118.216,8880,8880,false,SIN,Asia Pacific,Singapore,224,0.14
47.236.149.107,8880,8880,false,SIN,Asia Pacific,Singapore,230,0.14
47.237.94.140,8443,8443,true,SIN,Asia Pacific,Singapore,246,0.14
47.237.11.182,2087,2087,true,SIN,Asia Pacific,Singapore,215,0.13
47.236.9.152,2052,2052,false,SIN,Asia Pacific,Singapore,224,0.13
213.35.115.68,443,443,true,SIN,Asia Pacific,Singapore,258,0.12
47.236.158.158,2096,2096,true,SIN,Asia Pacific,Singapore,220,0.12
8.219.191.110,2082,2082,false,SIN,Asia Pacific,Singapore,230,0.12
8.222.208.38,2053,2053,true,SIN,Asia Pacific,Singapore,225,0.12
47.237.10.1,2053,2053,true,SIN,Asia Pacific,Singapore,239,0.12
8.219.107.135,2095,2095,false,SIN,Asia Pacific,Singapore,230,0.11
47.236.171.205,2086,2086,false,SIN,Asia Pacific,Singapore,228,0.11
47.237.95.13,8443,8443,true,SIN,Asia Pacific,Singapore,226,0.11
47.237.83.20,2086,2086,false,SIN,Asia Pacific,Singapore,234,0.11
47.236.170.54,2095,2095,false,SIN,Asia Pacific,Singapore,216,0.10
47.236.144.196,2083,2083,true,SIN,Asia Pacific,Singapore,230,0.10
8.219.77.222,8443,8443,true,SIN,Asia Pacific,Singapore,228,0.09
47.236.169.15,2053,2053,true,SIN,Asia Pacific,Singapore,224,0.09
158.180.80.239,443,443,true,SIN,Asia Pacific,Singapore,273,0.09
47.237.84.173,2096,2096,true,SIN,Asia Pacific,Singapore,234,0.08
47.237.95.13,2053,2053,true,SIN,Asia Pacific,Singapore,224,0.08
8.219.142.191,8080,8080,false,SIN,Asia Pacific,Singapore,214,0.07
8.219.198.139,2087,2087,true,SIN,Asia Pacific,Singapore,219,0.07
8.219.198.139,2083,2083,true,SIN,Asia Pacific,Singapore,234,0.06
54.179.184.9,443,443,true,SIN,Asia Pacific,Singapore,82,0.04
47.236.166.131,2083,2083,true,SIN,Asia Pacific,Singapore,215,0.03
47.236.205.188,2095,2095,false,SIN,Asia Pacific,Singapore,237,0.02
8.219.191.40,2096,2096,true,SIN,Asia Pacific,Singapore,215,0.02
47.236.75.113,2095,2095,false,SIN,Asia Pacific,Singapore,215,0.01
8.210.92.27,443,443,true,SIN,Asia Pacific,Singapore,51,0.00
47.237.86.185,8443,8443,true,SIN,Asia Pacific,Singapore,222,0.00
13.228.155.72,443,443,true,SIN,Asia Pacific,Singapore,81,0.00
8.219.67.133,80,80,false,SIN,Asia Pacific,Singapore,219,0.00
8.219.210.57,2086,2086,false,SIN,Asia Pacific,Singapore,226,0.00
47.236.144.196,8880,8880,false,SIN,Asia Pacific,Singapore,230,0.00
47.236.10.100,2082,2082,false,SIN,Asia Pacific,Singapore,218,0.00
47.236.202.91,80,80,false,SIN,Asia Pacific,Singapore,224,0.00
47.236.118.216,2083,2083,true,SIN,Asia Pacific,Singapore,230,0.00
47.237.14.220,2086,2086,false,SIN,Asia Pacific,Singapore,232,0.00
43.156.253.94,443,443,true,SIN,Asia Pacific,Singapore,79,0.00
8.219.6.150,2086,2086,false,SIN,Asia Pacific,Singapore,224,0.00
47.237.94.140,8880,8880,false,SIN,Asia Pacific,Singapore,236,0.00
47.236.174.206,2096,2096,true,SIN,Asia Pacific,Singapore,241,0.00
47.236.93.176,8443,8443,true,SIN,Asia Pacific,Singapore,232,0.00
47.237.83.20,2053,2053,true,SIN,Asia Pacific,Singapore,221,0.00
8.219.107.135,2082,2082,false,SIN,Asia Pacific,Singapore,223,0.00
47.237.95.13,2082,2082,false,SIN,Asia Pacific,Singapore,215,0.00
47.237.14.220,8880,8880,false,SIN,Asia Pacific,Singapore,221,0.00
47.236.149.107,2086,2086,false,SIN,Asia Pacific,Singapore,241,0.00
8.219.78.188,2096,2096,true,SIN,Asia Pacific,Singapore,223,0.00
47.236.170.225,2087,2087,true,SIN,Asia Pacific,Singapore,230,0.00
47.237.81.112,2086,2086,false,SIN,Asia Pacific,Singapore,237,0.00
47.236.254.120,2086,2086,false,SIN,Asia Pacific,Singapore,232,0.00
8.219.191.110,80,80,false,SIN,Asia Pacific,Singapore,224,0.00
47.236.146.249,2053,2053,true,SIN,Asia Pacific,Singapore,220,0.00
47.236.118.216,2087,2087,true,SIN,Asia Pacific,Singapore,227,0.00
8.219.106.156,80,80,false,SIN,Asia Pacific,Singapore,248,0.00
47.236.80.110,8443,8443,true,SIN,Asia Pacific,Singapore,217,0.00
43.163.3.63,443,443,true,SIN,Asia Pacific,Singapore,89,0.00
47.237.84.173,8080,8080,false,SIN,Asia Pacific,Singapore,243,0.00
8.219.198.139,8080,8080,false,SIN,Asia Pacific,Singapore,234,0.00
158.180.75.101,443,443,true,SIN,Asia Pacific,Singapore,269,0.00
43.156.27.249,443,443,true,SIN,Asia Pacific,Singapore,88,0.00
8.219.191.110,8443,8443,true,SIN,Asia Pacific,Singapore,232,0.00
47.236.174.206,2083,2083,true,SIN,Asia Pacific,Singapore,227,0.00
